                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96101,                 5.2006,                0.95428,                0.97455,                      1,                  0.995,                 0.6965,                0.74831,                 1.5696,                 1.0285,             0.00053932,             0.00053932,             0.00053932
                      2,                 1.0623,                 4.0681,                0.99294,                0.97319,                      1,                  0.995,                 0.8955,                0.39329,                 1.3378,                0.98932,              0.0010733,              0.0010733,              0.0010733
                      3,                 1.0262,                 3.0739,                0.97513,                0.96954,                      1,                  0.995,                  0.796,                0.88879,                0.99984,                 1.0621,              0.0015853,              0.0015853,              0.0015853
                      4,                 1.0526,                 2.5246,                0.99536,                 0.9691,                      1,                  0.995,                 0.8955,                 0.8035,                0.90555,                 1.0398,               0.001568,               0.001568,               0.001568
                      5,                 1.0787,                 2.1342,                0.98628,                0.97206,                      1,                  0.995,                 0.8955,                0.62859,                 0.7422,                 1.0296,               0.001535,               0.001535,               0.001535
                      6,                 1.0324,                  1.776,                0.99611,                0.96962,                      1,                  0.995,                  0.796,                0.58875,                0.41644,                 1.0065,               0.001502,               0.001502,               0.001502
                      7,                 1.0654,                 1.5605,                0.97458,                 0.9684,                      1,                  0.995,                 0.8955,                0.62356,                0.56749,                 1.0194,               0.001469,               0.001469,               0.001469
                      8,                 1.0508,                 1.4562,                0.96992,                0.96793,                      1,                  0.995,                 0.8955,                0.49499,                0.46329,                 1.0138,               0.001436,               0.001436,               0.001436
                      9,                 1.0082,                 1.2516,                0.94522,                0.97188,                      1,                  0.995,                  0.796,                0.81577,                0.68152,                 1.0502,              0.0014029,              0.0014029,              0.0014029
                     10,                0.98402,                 1.1919,                0.97313,                0.97274,                      1,                  0.995,                 0.8955,                0.51968,                0.47852,                 1.0133,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.0325,                 1.1268,                0.96365,                 0.9722,                      1,                  0.995,                  0.796,                0.72078,                0.46831,                 1.0344,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.0309,                 0.9757,                0.94462,                      1,                      1,                  0.995,                 0.6965,                 1.0762,                0.47085,                 1.0983,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.0182,                0.93436,                0.95893,                0.97074,                      1,                  0.995,                  0.796,                0.86002,                0.43606,                 1.0638,              0.0012709,              0.0012709,              0.0012709
                     14,                0.95927,                 0.8737,                0.95617,                      1,                      1,                  0.995,                  0.796,                 1.0397,                0.38302,                 1.1048,              0.0012379,              0.0012379,              0.0012379
                     15,                 0.9445,                0.84154,                0.93077,                0.97225,                      1,                  0.995,                  0.796,                0.94466,                0.45896,                 1.0531,              0.0012049,              0.0012049,              0.0012049
                     16,                0.94897,                0.81743,                0.93113,                      1,                      1,                  0.995,                  0.796,                0.92742,                0.34936,                 1.0522,              0.0011719,              0.0011719,              0.0011719
                     17,                0.94393,                0.77882,                0.93713,                      1,                      1,                  0.995,                 0.8955,                0.62961,                0.38692,                 1.0359,              0.0011389,              0.0011389,              0.0011389
                     18,                0.99715,                 0.7929,                0.94292,                      1,                      1,                  0.995,                  0.796,                0.77971,                0.35662,                 1.0255,              0.0011059,              0.0011059,              0.0011059
                     19,                0.94386,                0.73212,                0.94931,                0.97187,                      1,                  0.995,                 0.8955,                 0.6059,                0.35479,                 1.0091,              0.0010729,              0.0010729,              0.0010729
                     20,                0.93022,                 0.7034,                0.91497,                0.97213,                      1,                  0.995,                  0.796,                0.96262,                0.59029,                 1.0591,              0.0010399,              0.0010399,              0.0010399
                     21,                0.92502,                0.68458,                0.92727,                      1,                      1,                  0.995,                 0.6965,                 1.0381,                0.52273,                 1.0994,              0.0010069,              0.0010069,              0.0010069
                     22,                0.91317,                0.66671,                0.92406,                      1,                      1,                  0.995,                 0.8955,                0.55493,                0.27833,                 1.0021,             0.00097386,             0.00097386,             0.00097386
                     23,                0.90775,                0.68031,                0.92367,                      1,                      1,                  0.995,                 0.8955,                0.52266,                0.34896,                 1.0058,             0.00094085,             0.00094085,             0.00094085
                     24,                0.86369,                0.63699,                0.90611,                      1,                      1,                  0.995,                  0.796,                0.91879,                0.38506,                 1.0573,             0.00090785,             0.00090785,             0.00090785
