                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.91829,                0.64508,                0.93309,                      1,                      1,                  0.995,                  0.796,                 1.0114,                0.34527,                 1.0828,             0.00087484,             0.00087484,             0.00087484
                     26,                0.86789,                0.62444,                0.91159,                      1,                      1,                  0.995,                  0.796,                0.93964,                 0.4716,                 1.0733,             0.00084184,             0.00084184,             0.00084184
                     27,                0.86245,                0.61649,                0.91138,                0.97105,                      1,                  0.995,                  0.796,                  1.001,                0.43755,                 1.0711,             0.00080883,             0.00080883,             0.00080883
                     28,                0.88136,                0.61375,                0.90258,                      1,                      1,                  0.995,                  0.995,                0.47549,                 0.3757,                 1.0021,             0.00077582,             0.00077582,             0.00077582
                     29,                0.85095,                 0.5884,                0.89041,                      1,                      1,                  0.995,                  0.796,                0.88902,                 0.3553,                 1.0591,             0.00074282,             0.00074282,             0.00074282
                     30,                0.84289,                0.58305,                0.91274,                      1,                      1,                  0.995,                 0.8955,                0.62001,                0.41948,                 1.0185,             0.00070981,             0.00070981,             0.00070981
                     31,                 0.8826,                0.59578,                0.92612,                      1,                      1,                  0.995,                  0.796,                0.84926,                0.31529,                 1.0539,              0.0006768,              0.0006768,              0.0006768
                     32,                0.82778,                0.55359,                0.89357,                      1,                      1,                  0.995,                  0.796,                0.91319,                0.37279,                 1.0437,              0.0006438,              0.0006438,              0.0006438
                     33,                0.82547,                0.55783,                0.90573,                      1,                      1,                  0.995,                  0.796,                0.75234,                0.28774,                 1.0358,             0.00061079,             0.00061079,             0.00061079
                     34,                0.81637,                0.56929,                0.90145,                0.97109,                      1,                  0.995,                  0.796,                0.76843,                0.31668,                 1.0323,             0.00057778,             0.00057778,             0.00057778
                     35,                 0.8094,                0.54831,                0.89808,                0.97083,                      1,                  0.995,                 0.8955,                0.62769,                0.39442,                 1.0074,             0.00054478,             0.00054478,             0.00054478
                     36,                0.80275,                0.54282,                 0.8706,                      1,                      1,                  0.995,                 0.8955,                0.62984,                0.32563,                 1.0066,             0.00051177,             0.00051177,             0.00051177
                     37,                0.76554,                0.51049,                0.87607,                      1,                      1,                  0.995,                 0.8955,                 0.7233,                 0.3382,                  1.028,             0.00047876,             0.00047876,             0.00047876
                     38,                0.75895,                 0.5183,                0.87088,                      1,                      1,                  0.995,                 0.8955,                0.62344,                0.34241,                 1.0112,             0.00044576,             0.00044576,             0.00044576
                     39,                0.78787,                0.51356,                0.89733,                      1,                      1,                  0.995,                 0.8955,                0.81396,                0.27595,                 1.0282,             0.00041275,             0.00041275,             0.00041275
                     40,                0.76069,                0.50446,                0.87599,                      1,                      1,                  0.995,                  0.796,                0.64599,                0.26621,                 1.0102,             0.00037974,             0.00037974,             0.00037974
                     41,                0.73211,                0.50986,                 0.8817,                      1,                      1,                  0.995,                 0.8955,                0.54185,                0.27078,                 1.0005,             0.00034674,             0.00034674,             0.00034674
                     42,                0.72545,                 0.4889,                0.89378,                      1,                      1,                  0.995,                 0.8955,                0.67308,                0.34795,                 1.0102,             0.00031373,             0.00031373,             0.00031373
                     43,                0.69949,                0.48742,                0.88875,                      1,                      1,                  0.995,                 0.8955,                0.73159,                0.34202,                 1.0143,             0.00028072,             0.00028072,             0.00028072
                     44,                0.68187,                0.47518,                0.87425,                      1,                      1,                  0.995,                 0.8955,                0.74723,                0.32107,                 1.0148,             0.00024772,             0.00024772,             0.00024772
                     45,                0.68485,                0.46154,                0.87301,                      1,                      1,                  0.995,                  0.796,                0.81775,                0.31952,                 1.0331,             0.00021471,             0.00021471,             0.00021471
                     46,                0.70282,                0.46494,                0.87956,                      1,                      1,                  0.995,                 0.8955,                0.57205,                0.27799,                 1.0024,              0.0001817,              0.0001817,              0.0001817
                     47,                0.66593,                0.45194,                0.88395,                      1,                      1,                  0.995,                 0.8955,                0.76453,                0.30871,                   1.02,              0.0001487,              0.0001487,              0.0001487
                     48,                 0.6819,                0.46271,                0.87231,                      1,                      1,                  0.995,                 0.8955,                0.69051,                0.32366,                 1.0092,             0.00011569,             0.00011569,             0.00011569
                     49,                0.66917,                0.44745,                0.88043,                      1,                      1,                  0.995,                 0.8955,                0.74112,                0.28842,                 1.0153,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.67245,                0.44537,                 0.8659,                      1,                      1,                  0.995,                 0.8955,                0.70688,                0.25976,                 1.0106,             4.9677e-05,             4.9677e-05,             4.9677e-05
